Başlık,Marka,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,Ekran Kartı Gücü,Cihaz Ağırlığı,Kullanım Amacı,Şarjlı Kullanım Süresi,İşletim Sistemi,Renk,Çekilme Zamanı,Fiyat (TRY),Link
"Vivobook 15 X1502VA-NJ871 i5-13420H 8GB 512SSD 15.6"" FullHD FreeDOS Dizüstü Bilgisayar",ASUS,Intel Core i5,13420H,13. Nesil,8,3.4,4.6,8 GB,DDR4,40 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Intel UHD Graphics,Dahili,Paylaşımlı,DDR4,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:32:12,26.999 TL,https://www.trendyol.com/asus/vivobook-15-x1502va-nj871-i5-13420h-8gb-512ssd-15-6-fullhd-freedos-dizustu-bilgisayar-p-936850085?boutiqueId=61&merchantId=334898
"Expertbook P1 P1403CVA-I58512G0D I5-13420H 16GB Ddr5 256GB SSD Freedos 14"" Fhd WXI58512G0D06",ASUS,Intel Core i5,13420H,13. Nesil,8,,,16 GB,DDR5,,256 GB,HDD Yok,14 inç,1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:32:13,"30.499,99 TL",https://www.trendyol.com/asus/expertbook-p1-p1403cva-i58512g0d-i5-13420h-16gb-ddr5-256gb-ssd-freedos-14-fhd-wxi58512g0d06-p-891747003?boutiqueId=61&merchantId=106536
"V15 Gen 4 Intel Core I7-1355u 16gb 512gb Ssd 15.6"" Fhd Freedos Taşınabilir Bilgisayar 83a1003",LENOVO,Intel Core i7,1355U,13. Nesil,10,1.2,,16 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,,2 - 4 kg,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:32:15,29.390 TL,https://www.trendyol.com/lenovo/v15-gen-4-intel-core-i7-1355u-16gb-512gb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-83a1003-p-805544393?boutiqueId=61&merchantId=114271
"Thinkpad E16 Gen1 Ryzen™ 7 7730U 40GB 2tb SSD 16"" W11PRO Wuxga IPSTB21JT0017TX48+ZETTAÇANTA",LENOVO,AMD Ryzen 7,7730U,12. Nesil,8,2.5,,40 GB,DDR4,,2 TB,HDD Yok,16 inç,1920 x 1200,FHD+,Belirtilmemiş,IPS,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Windows,Siyah,2025-12-02 06:32:17,"55.999,99 TL",https://www.trendyol.com/lenovo/thinkpad-e16-gen1-ryzen-7-7730u-40gb-2tb-ssd-16-w11pro-wuxga-ipstb21jt0017tx48-zettacanta-p-802126485?boutiqueId=61&merchantId=106536
"V15 G4 IRU i5-13420H 40GB 512GB SSD FreeDos 15.6"" Notebook 83A100NSTX ATL45 + Çanta & Mouse",LENOVO,Intel Core i5,13420H,13. Nesil,8,3.4,4.6,40 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:32:18,"35.573,64 TL",https://www.trendyol.com/lenovo/v15-g4-iru-i5-13420h-40gb-512gb-ssd-freedos-15-6-notebook-83a100nstx-atl45-canta-mouse-p-1044620264?boutiqueId=61&merchantId=109354
"Aspire Lite AL15-71P-51AR3 Intel Core i5 12450H 32GB 256 GB SSD Freedos 15.6"" FHD T.Bilgisayar",ACER,Intel Core i5,12450H,12. Nesil,8,3.3,4.4,32 GB,DDR5,,256 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 - 4 kg,Ofis - İş,,Free Dos (İşletim Sistemi Yok),Gümüş,2025-12-02 06:32:20,28.999 TL,https://www.trendyol.com/acer/aspire-lite-al15-71p-51ar3-intel-core-i5-12450h-32gb-256-gb-ssd-freedos-15-6-fhd-t-bilgisayar-p-1021824395?boutiqueId=61&merchantId=334898
"Vivobook 15 Intel Core i5 1334U Windows 11 Pro 15.6"" FHD + Çanta Hediyeli",ASUS,Intel Core i5,1334u,13. Nesil,10,1.3,4.6,24 GB,DDR4,40 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Koyu Mavi,2025-12-02 06:32:21,31.999 TL,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1334u-windows-11-pro-15-6-fhd-canta-hediyeli-p-931721868?boutiqueId=61&merchantId=996557
"255 G10 3Z6G3ES002 Ryzen7 7730U 32GB 512SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar-CNT003",HP,AMD Ryzen 7,7730U,7. Nesil,8,2,4.5,32 GB,DDR4,64 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:32:23,30.999 TL,https://www.trendyol.com/hp/255-g10-3z6g3es002-ryzen7-7730u-32gb-512ssd-15-6-fhd-freedos-dizustu-bilgisayar-cnt003-p-938394930?boutiqueId=61&merchantId=514546
"Ideapad Slim 3 83K2001VTR011 i7-13620H 40GB 1TBSSD+1TBSSD 16"" WUXGA FreeDOS Dizüstü Bilgisaya",LENOVO,Intel Core i7,13620H,13. Nesil,10,3.6,4.9,40 GB,DDR5,40 GB,2 TB,HDD Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:32:24,53.299 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-83k2001vtr011-i7-13620h-40gb-1tbssd-1tbssd-16-wuxga-freedos-dizustu-bilgisaya-p-929632284?boutiqueId=61&merchantId=106664
"250 G10 9G1E4ET013 i5-1334U 32GB 512SSD 15.6"" FHD W11P Dizüstü Bilgisayar-CNT014",HP,Intel Core i5,1334u,13. Nesil,10,1.0,4.6,32 GB,DDR4,64 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,SVA,Intel Iris Graphics,Dahili,Paylaşımlı,DDR4,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Koyu Gri; Gri,2025-12-02 06:32:26,35.199 TL,https://www.trendyol.com/hp/250-g10-9g1e4et013-i5-1334u-32gb-512ssd-15-6-fhd-w11p-dizustu-bilgisayar-cnt014-p-925227710?boutiqueId=61&merchantId=106664
Expertbook B1 B1503CVA I7-1355U 32GB Ddr5 512GB SSD WINDOWS11PRO 15.6 Fhd WI716G512B1DW17+ZETTAÇANTA,ASUS,Intel Core i7,1355U,13. Nesil,10,1.2,4.6,32 GB,DDR5,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,LED,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Windows,Siyah,2025-12-02 06:32:27,"54.499,98 TL",https://www.trendyol.com/asus/expertbook-b1-b1503cva-i7-1355u-32gb-ddr5-512gb-ssd-windows11pro-15-6-fhd-wi716g512b1dw17-zettacanta-p-900224461?boutiqueId=61&merchantId=106536
"V15 83a100kxtr10 I7-1355u 16gb 512ssd 15.6"" Fhd W11p Dizüstü Bilgisayar-cnt011",LENOVO,Intel Core i7,1355U,13. Nesil,10,,,16 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,2 - 4 kg,Ofis - İş,,Windows,Koyu Gri; Siyah,2025-12-02 06:32:28,35.486 TL,https://www.trendyol.com/lenovo/v15-83a100kxtr10-i7-1355u-16gb-512ssd-15-6-fhd-w11p-dizustu-bilgisayar-cnt011-p-870875752?boutiqueId=61&merchantId=106664
"Vostro 3530 N3404PVNB3530U11 i5-1334U 32GB 1TBSSD 15.6"" FHD W11P Dizüstü Bilgisayar-CNT012",Dell,Intel Core i5,1334u,13. Nesil,10,1.0,4.6,32 GB,DDR4,64 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,IPS,Intel XE Graphics,Dahili,Paylaşımlı,SD,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Windows,Koyu Gri; Gri,2025-12-02 06:32:30,37.599 TL,https://www.trendyol.com/dell/vostro-3530-n3404pvnb3530u11-i5-1334u-32gb-1tbssd-15-6-fhd-w11p-dizustu-bilgisayar-cnt012-p-870546535?boutiqueId=61&merchantId=106664
Thinkpad E16 GEN 1 İntel İ5 1335U 16 GB 512 GB SSD Freedos 21JQS1TTZX,LENOVO,Intel Core i5,Belirtilmemiş,13. Nesil,10,3.4,4.6,16 GB,DDR4,16 GB,512 GB,HDD Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Siyah; Gri,2025-12-02 06:32:31,39.018 TL,https://www.trendyol.com/lenovo/thinkpad-e16-gen-1-intel-i5-1335u-16-gb-512-gb-ssd-freedos-21jqs1ttzx-p-787188189?boutiqueId=61&merchantId=820455
"X540ba-dm317 Amd A6-9225 4gb 256ssd 15""6 Freedos Notebook",ASUS,AMD A6,9225,Belirtilmemiş,2,2.6,3.1,4 GB,DDR4,8 GB,256 GB,256 GB,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,AMD Radeon R4,Dahili,Paylaşımlı,Belirtilmemiş,,2 kg ve altı,Ev - Okul,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),altın; Altın,2025-12-02 06:32:32,20.999 TL,https://www.trendyol.com/asus/x540ba-dm317-amd-a6-9225-4gb-256ssd-15-6-freedos-notebook-p-247523337?boutiqueId=61&merchantId=585885
"Inspiron 3520 i7 1255U 32GB 2TB M.2 SSD I35201013U ATL137 O/B 15.6"" Win11Pro Taşınabilir Bilgis",Dell,Intel Core i7,1255U,12. Nesil,10,1.7,4.7,32 GB,DDR4,64 GB,2 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,VA,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Siiyah,2025-12-02 06:32:34,"42.461,69 TL",https://www.trendyol.com/dell/inspiron-3520-i7-1255u-32gb-2tb-m-2-ssd-i35201013u-atl137-o-b-15-6-win11pro-tasinabilir-bilgis-p-946257922?boutiqueId=61&merchantId=109354
"Excalibur G880 i7-13620H 64GB 4TB RTX5060 8GB 165Hz 15.6"" Freedos Gaming Laptop G880.1362-EN60X-C",CASPER,Intel Core i7,13620H,13. Nesil,10,2.4,4.9,64 GB,DDR5,64 GB,4 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),165 Hz,IPS,Nvidia GeForce RTX 5060,Harici,8 GB,GDDR7,115W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),,2025-12-02 06:32:36,91.799 TL,https://www.trendyol.com/casper/excalibur-g880-i7-13620h-64gb-4tb-rtx5060-8gb-165hz-15-6-freedos-gaming-laptop-g880-1362-en60x-c-p-941285375?boutiqueId=61&merchantId=114258
Nirvana X600.1270-8F00A-G-F-KM35S i7-12700H 8GBRAM 1TBNVME Windows11+KabloluMouse,CASPER,Intel Core i7,12700H,12. Nesil,14,2.3,4.7,8 GB,DDR4,,1 TB,Belirtilmemiş,"15,6 inç",1920 x 1080,FHD+,60 Hz,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,,Windows,Metalik Gri; Gri,2025-12-02 06:32:37,30.999 TL,https://www.trendyol.com/casper/nirvana-x600-1270-8f00a-g-f-km35s-i7-12700h-8gbram-1tbnvme-windows11-kablolumouse-p-898618146?boutiqueId=61&merchantId=147192
"Vivobook 15 X1502ZA-EJ2135 Intel Core i5 1235U 16GB 1TB SSD Freedos 15.6"" Taşınabilir",ASUS,Intel Core i5,1235U,12. Nesil,4,1.8,4.4,16 GB,DDR4,40 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Intel Iris Graphics,Dahili,Paylaşımlı,DDR4,,2 - 4 kg,Ev - Okul,4-6 Saat,Free Dos (İşletim Sistemi Yok),gri; Siyah,2025-12-02 06:32:38,29.895 TL,https://www.trendyol.com/asus/vivobook-15-x1502za-ej2135-intel-core-i5-1235u-16gb-1tb-ssd-freedos-15-6-tasinabilir-p-840014432?boutiqueId=61&merchantId=557390
Nirvana X600.1270-8F00A-G-F-KM35S i7-12700H 8GBRAM 1TBNVME Windows11+KabloluMouse,CASPER,Intel Core i7,12700H,12. Nesil,14,2.3,4.7,8 GB,DDR4,,1 TB,Belirtilmemiş,"15,6 inç",1920 x 1080,FHD+,60 Hz,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,,Windows,Metalik Gri; Gri,2025-12-02 06:32:39,30.999 TL,https://www.trendyol.com/casper/nirvana-x600-1270-8f00a-g-f-km35s-i7-12700h-8gbram-1tbnvme-windows11-kablolumouse-p-898618146?boutiqueId=61&merchantId=147192
"Vivobook 15 X1502ZA-EJ2135 Intel Core i5 1235U 16GB 1TB SSD Freedos 15.6"" Taşınabilir",ASUS,Intel Core i5,1235U,12. Nesil,4,1.8,4.4,16 GB,DDR4,40 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Intel Iris Graphics,Dahili,Paylaşımlı,DDR4,,2 - 4 kg,Ev - Okul,4-6 Saat,Free Dos (İşletim Sistemi Yok),gri; Siyah,2025-12-02 06:32:40,29.895 TL,https://www.trendyol.com/asus/vivobook-15-x1502za-ej2135-intel-core-i5-1235u-16gb-1tb-ssd-freedos-15-6-tasinabilir-p-840014432?boutiqueId=61&merchantId=557390
"250 G10 I7-1355U 64GB 2tb SSD 15.6"" Fhd Freedos Taşınabilir Bilgisayar 8A542EAVB13",HP,Intel Core i7,1355U,13. Nesil,10,1.7,5.0,64 GB,DDR4,32 GB,2 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,SVA,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:32:42,45.290 TL,https://www.trendyol.com/hp/250-g10-i7-1355u-64gb-2tb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-8a542eavb13-p-817824972?boutiqueId=61&merchantId=114271
"Ideapad 1 I3-1215U 8 GB 256 GB SSD 15.6"" Windows 11 Home 82QD0072TXAR21",LENOVO,Intel Core i3,1215U,12. Nesil,6,2,,8 GB,DDR3,8 GB,256 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 - 4 kg,Ofis - İş,4-6 Saat,Windows,gri; Gri,2025-12-02 06:32:43,19.999 TL,https://www.trendyol.com/lenovo/ideapad-1-i3-1215u-8-gb-256-gb-ssd-15-6-windows-11-home-82qd0072txar21-p-815730865?boutiqueId=61&merchantId=557390
"Vostro 3530 I7-1355u 32gb 512gb Ssd 15.6"" Fhd 120hz Ubuntu Laptop N1601pvnb3530u 002",Dell,Intel Core M,1000M,13. Nesil,10,2,4.6,32 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,FHD+,60 Hz,VA,Intel Iris Pro Graphics,Dahili,Paylaşımlı,GDDR5X,,2 - 4 kg,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:32:44,31.590 TL,https://www.trendyol.com/dell/vostro-3530-i7-1355u-32gb-512gb-ssd-15-6-fhd-120hz-ubuntu-laptop-n1601pvnb3530u-002-p-811135604?boutiqueId=61&merchantId=114271
"V15 G4 Intel Core i7 1355U 16gb Ram 1Tb Ssd Freedos 15.6"" Full HD Freedos Notebook",LENOVO,Intel Core i7,1355U,13. Nesil,12+,3.7,5.0,16 GB,DDR4,,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,IPS,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,,2 - 4 kg,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),KOYU GRİ-SİYAH; Gri,2025-12-02 06:32:45,"40.423,95 TL",https://www.trendyol.com/lenovo/v15-g4-intel-core-i7-1355u-16gb-ram-1tb-ssd-freedos-15-6-full-hd-freedos-notebook-p-800059498?boutiqueId=61&merchantId=125175
"V15 G3 Amd R7 5825u 16gb 1tb Ssd 15.6"" Fhd W11home Taşınabilir Bilgisayar 82tv004mtx",LENOVO,AMD Ryzen 7,5825U,5. Nesil,8,2,4.5,16 GB,DDR4,,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Windows,Black; Siyah,2025-12-02 06:32:46,35.000 TL,https://www.trendyol.com/lenovo/v15-g3-amd-r7-5825u-16gb-1tb-ssd-15-6-fhd-w11home-tasinabilir-bilgisayar-82tv004mtx-p-732745076?boutiqueId=61&merchantId=192739
"Excalibur G880 i7-13620H 16GB 1TB RTX4050 165Hz 15.6"" W11P Gaming Laptop G880.1362-BFA0R-C",CASPER,Intel Core i7,13620H,13. Nesil,10,2.4,4.9,16 GB,DDR4,,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),165 Hz,IPS,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,105W,2 - 4 kg,Oyun,4-6 Saat,Windows,,2025-12-02 06:32:48,69.799 TL,https://www.trendyol.com/casper/excalibur-g880-i7-13620h-16gb-1tb-rtx4050-165hz-15-6-w11p-gaming-laptop-g880-1362-bfa0r-c-p-933831299?boutiqueId=61&merchantId=114258
"Nirvana X600 i7-13620H 8GB 1TB SSD 15.6"" Freedos Laptop X600.1362-8F00X-G-F",CASPER,Intel Core i7,13620H,13. Nesil,10,2.4,4.9,8 GB,DDR4,,1 TB,HDD Yok,"15,6 inç",1920 x 1080,FHD+,60 Hz,IPS,Intel Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Metalik Gri; Gri,2025-12-02 06:32:50,28.499 TL,https://www.trendyol.com/casper/nirvana-x600-i7-13620h-8gb-1tb-ssd-15-6-freedos-laptop-x600-1362-8f00x-g-f-p-899633972?boutiqueId=61&merchantId=147192
"Thinkbook 16P 21N50024TR10 i9-14900HX 32GB 1TBSSD RTX4060 16"" 3.2K W11P Dizüstü Bilgisayar",LENOVO,Intel Core i9,14900HX,14. Nesil,24,1.6,+5,32 GB,DDR5,64 GB,1 TB,HDD Yok,16 inç,3200 x 2000,WQHD,165 Hz,IPS,Nvidia GeForce RTX 4060,Harici,8 GB,GDDR6,,2 - 4 kg,Ofis - İş,4-6 Saat,Windows,Gri; Siyah,2025-12-02 06:32:51,102.549 TL,https://www.trendyol.com/lenovo/thinkbook-16p-21n50024tr10-i9-14900hx-32gb-1tbssd-rtx4060-16-3-2k-w11p-dizustu-bilgisayar-p-878120927?boutiqueId=61&merchantId=106664
Nirvana Z100.1335-BX00A-S-Q Intel Core i5-1335U 16 GB RAM 2TB NVMe SSD Windows 11-Oniks Siyah,CASPER,Intel Core i5,1335U,13. Nesil,10,1.3,4.6,16 GB,LPDDR5,16 GB,2 TB,HDD Yok,14 inç,2560 x 1600,QHD,60 Hz,IPS,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,,Windows,Siyah,2025-12-02 06:32:52,40.499 TL,https://www.trendyol.com/casper/nirvana-z100-1335-bx00a-s-q-intel-core-i5-1335u-16-gb-ram-2tb-nvme-ssd-windows-11-oniks-siyah-p-806783413?boutiqueId=61&merchantId=114258
D515da-br3169 Amd Ryzen 3 3250u 4gb 256gb Ssd 15.6”free Dos,ASUS,AMD Ryzen 3,3250U,3. Nesil,2,3,4.0,4 GB,DDR4,,256 GB,HDD Yok,"15,6 inç",1366 x 768,HD Ready (HD),Belirtilmemiş,TN,AMD Radeon Graphics,Dahili,Paylaşımlı,Belirtilmemiş,,2 kg ve altı,Ev - Okul,4-6 Saat,Free Dos (İşletim Sistemi Yok),GRİ; Gri,2025-12-02 06:32:54,19.899 TL,https://www.trendyol.com/asus/d515da-br3169-amd-ryzen-3-3250u-4gb-256gb-ssd-15-6-free-dos-p-320149654?boutiqueId=61&merchantId=409439
"IP3 83K100Q0TR-07 i5-13420H 24GB DDR5 512GB+256GB SSD WUXGA 15.3"" IPS FreeDos",LENOVO,Intel Core i5,13420H,13. Nesil,8,,,24 GB,DDR5,,512 GB,HDD Yok,"15,3 inç",1920 x 1200,WUXGA,60 Hz,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,,Free Dos (İşletim Sistemi Yok),,2025-12-02 06:32:55,29.999 TL,https://www.trendyol.com/lenovo/ip3-83k100q0tr-07-i5-13420h-24gb-ddr5-512gb-256gb-ssd-wuxga-15-3-ips-freedos-p-988363478?boutiqueId=61&merchantId=141868
"Ideapad Slim 3 i7-13620H 40GB 2 TB SSD 16"" Win11 Pro 83K2001WTREP11 + ElektroPasaj Çanta",LENOVO,Intel Core i7,13620H,13. Nesil,10,3,4.9,40 GB,DDR5,,2 TB,HDD Yok,16 inç,1920 x 1200,WUXGA,Belirtilmemiş,IPS,Belirtilmemiş,Dahili,Paylaşımlı,Belirtilmemiş,,2 kg ve altı,Belirtilmemiş,,Windows,,2025-12-02 06:32:56,56.999 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-i7-13620h-40gb-2-tb-ssd-16-win11-pro-83k2001wtrep11-elektropasaj-canta-p-985912139?boutiqueId=61&merchantId=1109500
Vivobook 15 X1502VA I5- 13420h 24gb 1TB Ssd 15.6 Fhd W11 PRO,ASUS,Intel Core i5,13420H,13. Nesil,8,3.4,4.6,24 GB,DDR4,40 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Intel UHD Graphics,Dahili,Paylaşımlı,DDR4,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:32:57,28.999 TL,https://www.trendyol.com/asus/vivobook-15-x1502va-i5-13420h-24gb-1tb-ssd-15-6-fhd-w11-pro-p-957939973?boutiqueId=61&merchantId=121474
"Vivobook 15 X1504VA-NJ2405G i5-1334U 40GB 1TBSSD 15.6"" FullHD FreeDOS Dizüstü Bilgisayar",ASUS,Intel Core i5,1334u,13. Nesil,10,3.4,4.6,40 GB,DDR4,8 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Intel Iris Graphics,Dahili,Paylaşımlı,DDR4,,2 kg ve altı,Ev - Okul,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Lacivert,2025-12-02 06:32:59,39.449 TL,https://www.trendyol.com/asus/vivobook-15-x1504va-nj2405g-i5-1334u-40gb-1tbssd-15-6-fullhd-freedos-dizustu-bilgisayar-p-927341210?boutiqueId=61&merchantId=815914
"Ideapad Slim 3 16IRH10 I7 13620H 24GB 512GB SSD W11PRO 16"" Wuxga IPS 300NITS 83K2001VTRP04+ZETTACNT",LENOVO,Intel Core i5,13420H,13. Nesil,8,3,4.6,24 GB,DDR5,,512 GB,HDD Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Gri,2025-12-02 06:33:00,"41.799,49 TL",https://www.trendyol.com/lenovo/ideapad-slim-3-16irh10-i7-13620h-24gb-512gb-ssd-w11pro-16-wuxga-ips-300nits-83k2001vtrp04-zettacnt-p-926168947?boutiqueId=61&merchantId=106536
"Ideapad 1 AMD Ryzen 5 5500U 16GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82R400R6T",LENOVO,AMD Ryzen 5,5500U,5. Nesil,6,2.1,4.0,16 GB,DDR4,16 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),Gri; Siyah,2025-12-02 06:33:02,22.499 TL,https://www.trendyol.com/lenovo/ideapad-1-amd-ryzen-5-5500u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82r400r6t-p-881686008?boutiqueId=61&merchantId=557390
"Inspiron 3520 Intel Core i7 1255U 16GB 512GB SSD Windows 11 Home 15.6"" i35201013UA29",Dell,Intel Core i7,1255U,12. Nesil,10,1.7,4.7,16 GB,DDR4,64 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,VA,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Windows,Siyah,2025-12-02 06:33:04,35.999 TL,https://www.trendyol.com/dell/inspiron-3520-intel-core-i7-1255u-16gb-512gb-ssd-windows-11-home-15-6-i35201013ua29-p-749891920?boutiqueId=61&merchantId=192739
"Inspiron 3530 I3530122024U11 i5-1334U 32GB 1TBSSD 15.6"" FHD W11P Dizüstü Bilgisayar-CNT012",Dell,Intel Core i5,1334u,13. Nesil,10,1.0,4.6,32 GB,DDR4,,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,VA,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Siyah,2025-12-02 06:33:05,39.999 TL,https://www.trendyol.com/dell/inspiron-3530-i3530122024u11-i5-1334u-32gb-1tbssd-15-6-fhd-w11p-dizustu-bilgisayar-cnt012-p-938780004?boutiqueId=61&merchantId=106664
